itemid,datasource,genre,subgenre,orig_lang,speaker_id,reflabel,observations,maxagree,majority_softlabel,majoritylabel_sampled,majority_distrlabel20,majority_distrlabel40,domconn_step1,domconn_step2
wsj_0207_35,207,pdtb,NA,English,NA,arg1-as-detail,10,0.5,synchronous:0; precedence:0; succession:0; reason:0; result:0.5; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0.1; contrast:0; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0.2; arg2-as-detail:0.1; equivalence:0.1; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,result,arg1-as-detail;result,result,consequently,consequently
wsj_0266_0,266,pdtb,NA,English,NA,similarity,10,0.7,synchronous:0; precedence:0; succession:0; reason:0.1; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.1; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.1; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.7; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,arg2-as-detail,arg2-as-detail,arg2-as-detail,in more detail,to provide background information
wsj_0317_46,317,pdtb,NA,English,NA,arg1-as-denier,10,0.3,synchronous:0; precedence:0; succession:0; reason:0.1; result:0.1; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0.3; contrast:0; similarity:0; conjunction:0.2; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0.1; arg2-as-detail:0.2; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,arg2-as-denier,arg2-as-denier;arg2-as-detail;conjunction,arg2-as-denier,despite this,despite this
wsj_0367_52,367,pdtb,NA,English,NA,equivalence,10,0.4,synchronous:0; precedence:0.1; succession:0.1; reason:0.2; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.4; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.2; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,conjunction,arg2-as-detail;conjunction;reason,conjunction,also,in addition
wsj_0374_26,374,pdtb,NA,English,NA,similarity,10,0.5,synchronous:0; precedence:0.2; succession:0; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0.2; similarity:0; conjunction:0.5; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.1; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,conjunction,conjunction;contrast;precedence,conjunction,also,also
wsj_0409_51,409,pdtb,NA,English,NA,reason,10,0.6,synchronous:0; precedence:0; succession:0; reason:0.6; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.1; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0.1; arg2-as-detail:0.2; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,reason,arg2-as-detail;reason,reason,because,the reasons isare that
wsj_0423_1,423,pdtb,NA,English,NA,disjunction,10,0.5,synchronous:0; precedence:0; succession:0; reason:0; result:0.1; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.1; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.2; disjunction:0.5; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0.1; differentcon:0; norel:0,disjunction,conjunction;disjunction,disjunction,or,or alternatively
wsj_0436_34,436,pdtb,NA,English,NA,arg2-as-excpt,10,0.5,synchronous:0; precedence:0; succession:0; reason:0.2; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.1; arg1-as-detail:0.1; arg2-as-detail:0.5; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0.1; differentcon:0; norel:0,arg2-as-detail,arg2-as-detail;reason,arg2-as-detail,specifically,specifically
wsj_0437_0,437,pdtb,NA,English,NA,arg2-as-subst,10,0.4,synchronous:0; precedence:0; succession:0; reason:0.4; result:0.1; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.4; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0.1; differentcon:0; norel:0,arg2-as-detail,arg2-as-detail;reason,arg2-as-detail;reason,more specifically,the reasons isare that
wsj_0445_174,445,pdtb,NA,English,NA,arg2-as-instance,10,0.4,synchronous:0; precedence:0; succession:0; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.2; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.4; arg1-as-detail:0.1; arg2-as-detail:0.3; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,arg2-as-instance,arg2-as-detail;arg2-as-instance;conjunction,arg2-as-instance,for example,for instance
wsj_0488_4,488,pdtb,NA,English,NA,reason,10,0.4,synchronous:0; precedence:0; succession:0; reason:0.3; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0.1; contrast:0; similarity:0; conjunction:0.1; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0.1; arg2-as-detail:0.4; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,arg2-as-detail,arg2-as-detail;reason,arg2-as-detail,specifically,the reasons isare that
wsj_0490_32,490,pdtb,NA,English,NA,arg2-as-instance,10,0.5,synchronous:0; precedence:0; succession:0; reason:0; result:0.1; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0.1; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.3; arg1-as-detail:0; arg2-as-detail:0.5; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; differentcon:0; norel:0,arg2-as-detail,arg2-as-detail;arg2-as-instance,arg2-as-detail,specifically,for instance
