instance_id	question_start	level-2	level-3	question	answer	sent_q
The_Hobbit_EN_batch_01_item_08	What provides more detail on	Expansion.Level-of-detail	ARG1-AS-DETAIL	What provides more detail on _  a throng.	Dori, Nori, Ori, Oin, and Gloin were their names; and very soon two purple hoods, a grey hood, a brown hood, and a white hood were hanging on the pegs, and off they marched with their broad hands stuck in their gold and silver belts to join the others.	sent2
﻿Animal_Farm_EN_batch_01_item_01	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on the fact that everyone was quite ready to lose an hour's sleep in order to hear what he had to say.	At one end of the big barn, on a sort of raised platform, Major was already ensconced on his bed of straw, under a lantern which hung from a beam.	sent1
﻿Animal_Farm_EN_batch_01_item_01	In addition to what	Expansion.Conjunction	Expansion.Conjunction	In addition to what was Old Major (so he was always called, though the name under which he had been exhibited was Willingdon Beauty) was so highly regarded on the farm that everyone was quite ready to lose an hour's sleep in order to hear what he had to say.	At one end of the big barn, on a sort of raised platform, Major was already ensconced on his bed of straw, under a lantern which hung from a beam.	sent1
﻿Animal_Farm_EN_batch_01_item_01	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon the fact that Old Major was so highly regarded on the farm that everyone was quite ready to lose an hour's sleep in order to hear what he had to say.	At one end of the big barn, on a sort of raised platform, Major was already ensconced on his bed of straw, under a lantern which hung from a beam.	sent1
﻿Animal_Farm_EN_batch_01_item_01	For what purpose	Contingency.Purpose	ARG1-AS-GOAL	For what purpose was Major ensconced on his bed of straw, under a lantern which hung from a beam.	Old Major (so he was always called, though the name under which he had been exhibited was Willingdon Beauty) was so highly regarded on the farm that everyone was quite ready to lose an hour's sleep in order to hear what he had to say.	sent2
﻿Animal_Farm_EN_batch_01_item_01	What is the reason	Contingency.Cause	RESULT	What is the reason _ Major was ensconced on his bed of straw, under a lantern which hung from a beam	Old Major (so he was always called, though the name under which he had been exhibited was Willingdon Beauty) was so highly regarded on the farm that everyone was quite ready to lose an hour's sleep in order to hear what he had to say.	sent2
The_Hobbit_EN_batch_03_item_11	What is a case of	Expansion.Instantiation	ARG1-AS-INSTANCE	What is a case of _ a few of the tales	Evil things did not come into that valley.	sent2
﻿Animal_Farm_EN_batch_01_item_01	What is the reason	Contingency.Cause	RESULT	What is the reason _ Major was already ensconced on his bed of straw, under a lantern which hung from a beam	Old Major (so he was always called, though the name under which he had been exhibited was Willingdon Beauty) was so highly regarded on the farm that everyone was quite ready to lose an hour's sleep in order to hear what he had to say.	sent2
﻿Animal_Farm_EN_batch_01_item_01	In addition to what	Expansion.Conjunction	Expansion.Conjunction	In addition to what _ Old Major (so he was always called, though the name under which he had been exhibited was Willingdon Beauty) was so highly regarded on the farm that everyone was quite ready to lose an hour's sleep in order to hear what he had to say.	At one end of the big barn, on a sort of raised platform, Major was already ensconced on his bed of straw, under a lantern which hung from a beam.	sent1
﻿Animal_Farm_EN_batch_01_item_01	For what purpose	Contingency.Purpose	ARG1-AS-GOAL	For what purpose was Major ensconced on his bed of straw on a sort of raised platform	Old Major (so he was always called, though the name under which he had been exhibited was Willingdon Beauty) was so highly regarded on the farm that everyone was quite ready to lose an hour's sleep in order to hear what he had to say.	sent2
